A,AAL,AAP,AAPL,ABBV,ABC,ABMD,ABT,ACN,ADBE
96.33000183105469,11.119999885559082,150.13999938964844,106.26000213623047,94.91000366210938,100.19000244140625,299.94000244140625,100.63999938964844,224.77999877929688,444.32000732421875
99.08999633789062,11.079999923706055,152.5500030517578,108.9375,95.94000244140625,104.4800033569336,308.3500061035156,100.68000030517578,227.17999267578125,447.9700012207031
97.52999877929688,11.470000267028809,152.7899932861328,109.66500091552734,94.29000091552734,104.69999694824219,305.3500061035156,99.93000030517578,227.14999389648438,446.9200134277344
97.88999938964844,12.5600004196167,151.72000122070312,110.0625,93.25,103.5,317.0,102.13999938964844,228.6999969482422,449.510009765625
97.44999694824219,13.039999961853027,151.8300018310547,113.90249633789062,92.56999969482422,101.61000061035156,314.9800109863281,101.75,230.88999938964844,464.1099853515625
97.77999877929688,13.029999732971191,151.97000122070312,111.11250305175781,92.91999816894531,102.0999984741211,310.82000732421875,101.2300033569336,231.55999755859375,449.57000732421875
97.13999938964844,14.0,153.32000732421875,112.72750091552734,92.37999725341797,103.04000091552734,300.0199890136719,100.04000091552734,230.33999633789062,443.2900085449219
96.30000305175781,13.729999542236328,151.94000244140625,109.375,92.66999816894531,101.37999725341797,294.8699951171875,99.05999755859375,228.57000732421875,435.2300109863281
97.62999725341797,13.539999961853027,154.27999877929688,113.01000213623047,95.51000213623047,103.55000305175781,302.3399963378906,100.6500015258789,229.75,445.3599853515625
98.7699966430664,13.300000190734863,155.99000549316406,115.01000213623047,94.68000030517578,102.7300033569336,308.3699951171875,101.0999984741211,231.72999572753906,450.0199890136719
97.37000274658203,13.329999923706055,158.66000366210938,114.90750122070312,95.06999969482422,103.75,307.3500061035156,99.98999786376953,230.25,447.6000061035156
97.51000213623047,12.619999885559082,161.0,114.60749816894531,96.3499984741211,103.41999816894531,309.54998779296875,100.70999908447266,232.6199951171875,451.5799865722656
97.86000061035156,12.600000381469727,162.85000610351562,115.5625,95.6500015258789,102.83999633789062,313.20001220703125,100.95999908447266,234.22999572753906,463.510009765625
97.95999908447266,12.680000305175781,160.80999755859375,115.7074966430664,96.0999984741211,101.70999908447266,314.3500061035156,100.4800033569336,234.6300048828125,462.010009765625
97.77999877929688,12.5,157.44000244140625,118.2750015258789,95.19999694824219,99.04000091552734,310.010009765625,101.62999725341797,236.61000061035156,478.4800109863281
98.30000305175781,12.15999984741211,156.11000061035156,124.37000274658203,94.86000061035156,98.1500015258789,307.57000732421875,102.4000015258789,237.49000549316406,473.2200012207031
97.5999984741211,13.4399995803833,157.13999938964844,125.85749816894531,94.51000213623047,97.56999969482422,304.95001220703125,101.38999938964844,237.75,476.29998779296875
98.33999633789062,13.140000343322754,156.05999755859375,124.82499694824219,94.05999755859375,98.27999877929688,311.1199951171875,102.47000122070312,238.2100067138672,484.42999267578125
99.33000183105469,12.789999961853027,156.47999572753906,126.52249908447266,94.3499984741211,97.66000366210938,306.1400146484375,103.19000244140625,240.4499969482422,528.489990234375
99.0199966430664,13.279999732971191,154.72000122070312,125.01000213623047,94.30000305175781,98.12999725341797,311.1000061035156,111.29000091552734,240.8699951171875,510.32000732421875
99.9000015258789,13.59000015258789,154.77000427246094,124.80750274658203,94.16999816894531,97.55000305175781,303.0400085449219,110.79000091552734,242.99000549316406,516.4400024414062
100.41999816894531,13.050000190734863,156.30999755859375,129.0399932861328,95.7699966430664,97.02999877929688,307.6199951171875,109.47000122070312,239.92999267578125,513.3900146484375
101.12000274658203,13.100000381469727,156.38999938964844,134.17999267578125,92.23999786376953,94.30000305175781,307.3299865722656,106.55000305175781,240.02000427246094,527.9500122070312
103.41999816894531,13.229999542236328,158.10000610351562,131.39999389648438,93.94999694824219,98.29000091552734,312.7300109863281,109.44000244140625,247.17999267578125,533.7999877929688
99.63999938964844,13.359999656677246,155.17999267578125,120.87999725341797,91.87000274658203,97.58000183105469,294.010009765625,105.52999877929688,238.97999572753906,507.79998779296875
96.83999633789062,13.609999656677246,153.75,120.95999908447266,91.87000274658203,96.5999984741211,275.8900146484375,104.16000366210938,236.07000732421875,491.94000244140625
95.13999938964844,13.630000114440918,151.72999572753906,112.81999969482422,90.22000122070312,95.36000061035156,268.19000244140625,102.83999633789062,232.64999389648438,462.1300048828125
97.93000030517578,13.050000190734863,154.35000610351562,117.31999969482422,91.62999725341797,96.19999694824219,277.92999267578125,105.80999755859375,238.91000366210938,479.4599914550781
98.56999969482422,13.010000228881836,153.55999755859375,113.48999786376953,89.6500015258789,94.2699966430664,272.0199890136719,104.0,233.64999389648438,476.260009765625
98.5999984741211,12.949999809265137,154.58999633789062,112.0,89.69999694824219,94.08000183105469,269.7699890136719,104.69999694824219,234.77000427246094,471.3500061035156
99.41999816894531,13.260000228881836,157.30999755859375,115.36000061035156,90.48999786376953,94.5999984741211,275.70001220703125,105.69000244140625,238.8300018310547,485.9100036621094
100.37000274658203,13.140000343322754,156.8800048828125,115.54000091552734,90.91000366210938,94.9000015258789,279.1600036621094,106.58000183105469,240.1999969482422,497.6700134277344
99.91999816894531,13.800000190734863,154.63999938964844,112.12999725341797,89.77999877929688,96.79000091552734,274.4100036621094,105.69999694824219,239.4199981689453,476.0
99.5999984741211,13.630000114440918,154.75999450683594,110.33999633789062,89.62999725341797,96.80999755859375,276.1400146484375,106.66000366210938,236.82000732421875,474.29998779296875
99.37999725341797,13.1899995803833,153.8800048828125,106.83999633789062,90.11000061035156,96.83000183105469,265.07000732421875,106.86000061035156,236.17999267578125,467.54998779296875
