DIS,95.01,96.1249,50.36,0.53,50.95
LNC,35.24,34.33,50.04,1.42,48.75
TTWO,102.25,101.29,50.1,0.49,49.63
D,61.66,61.2,49.94,0.81,49.57
PRGO,33.04,33.04,49.89,1.51,49.89
AVB,170.295,170.295,49.39,0.29,49.39
